item_number,name,description,brand,unit,cost_price,list_price,sale_price,product_status,barcode,metadata_json
A7402DM-17,BAHCO 三分十二角長套筒 17mm,BAHCO 三分十二角長套筒 17mm,Unknown,個,63,160,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 12, 'supplier': ''}"
A7402DM-18,BAHCO 三分十二角長套筒 18mm,BAHCO 三分十二角長套筒 18mm,Unknown,個,76,190,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 13, 'supplier': ''}"
A7402DM-19,BAHCO 三分十二角長套筒 19mm,BAHCO 三分十二角長套筒 19mm,Unknown,個,76,190,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 13, 'supplier': ''}"
A7402DM-21,BAHCO 三分十二角長套筒 21mm,BAHCO 三分十二角長套筒 21mm,Unknown,個,76,190,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 13, 'supplier': ''}"
A7402DM-7,BAHCO 三分十二角長套筒 7mm,BAHCO 三分十二角長套筒 7mm,Unknown,個,56,140,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 13, 'supplier': ''}"
A7402DM-8,BAHCO 三分十二角長套筒 8mm,BAHCO 三分十二角長套筒 8mm,Unknown,個,56,140,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 13, 'supplier': ''}"
A7402DM-9,BAHCO 三分十二角長套筒 9mm,BAHCO 三分十二角長套筒 9mm,Unknown,個,64,160,0,active,,"{'category': 'BAHCO 套筒系列', 'safety_stock': 0, 'stock_qty': 13, 'supplier': ''}"
A91F,Snap-on 套環扳手,Snap-on 套環扳手,Unknown,件,0,3370,0,active,A91F,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AA0003,福春升降機 AA0003升降工作台500A單機地上型 不含氣動夾具,福春升降機 AA0003升降工作台500A單機地上型 不含氣動夾具,Unknown,件,0,48000,0,active,,"{'category': '福春 升降機', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AA0008,福春升降機 AA0008 超薄型 不含氣動夾具,福春升降機 AA0008 超薄型 不含氣動夾具,Unknown,件,61000,65000,0,active,,"{'category': '福春 升降機', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AA00081,福春升降機 AA00081 超薄型 不含氣動夾具,福春升降機 AA00081 超薄型 不含氣動夾具,Unknown,件,63000,67000,0,active,,"{'category': '福春 升降機', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AA0344G00A,Snap-on零件 AA0344G00A,Snap-on零件 AA0344G00A,Unknown,件,0,5789,0,active,AA0344G00A,"{'category': 'Snap-on 零件', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AB3042,"Snap-on 1/4"" 六角轉 3/8"" 方形轉接頭","Snap-on 1/4"" 六角轉 3/8"" 方形轉接頭",Unknown,件,0,1650,0,active,AB3042,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AC17D,"Blue-Point 鋼絲刷頭 1/4""軸","Blue-Point 鋼絲刷頭 1/4""軸",Unknown,個,0,1600,0,active,AC17D,"{'category': '美國藍點 其他工具', 'safety_stock': 0, 'stock_qty': 6, 'supplier': ''}"
AC5C,Blue-point 7-7/8'' 手刷式鋼刷,Blue-point 7-7/8'' 手刷式鋼刷,Unknown,件,0,0,0,active,AC5C,"{'category': '美國藍點 其他工具', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
ACT785B,Snap-on 數位熱感檢測器,Snap-on 數位熱感檢測器,Unknown,支,11272,24200,0,active,ACT785B,"{'category': 'Snap-on 電子類產', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ACT900,Snap-on 冷媒檢測儀,Snap-on 冷媒檢測儀,Unknown,支,12389,26600,0,active,ACT900,"{'category': 'Snap-on 電子類產', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ACTR5134A,Snap-on 高級集氣表套組,Snap-on 高級集氣表套組,Unknown,套組,0,17000,0,active,ACTR5134A,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ACTUVINJKTA,Snap-on 空調洩漏檢測套件,Snap-on 空調洩漏檢測套件,Unknown,套組,0,9850,0,active,ACTUVINJKTA,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ACTUVINJKTB,Snap-on 空調洩漏檢測套件,Snap-on 空調洩漏檢測套件,Unknown,套組,0,14150,0,active,ACTUVINJKTB,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ACTUVKITRHTA,Snap-on 染料組 4罐一組,Snap-on 染料組 4罐一組,Unknown,套組,1711,3595,0,active,ACTUVKITRHTA,"{'category': 'Snap-on 周邊', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AD10C,"Snap-on 10"" 活動扳手","Snap-on 10"" 活動扳手",Unknown,支,0,4650,0,active,AD10C,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AD12C,"Snap-on 12"" 活動扳手","Snap-on 12"" 活動扳手",Unknown,支,0,6655,0,active,AD12C,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AD6C,"Snap-on 6"" 活動扳手","Snap-on 6"" 活動扳手",Unknown,支,2035,3600,0,active,AD6C,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AD704C,"Snap-on 4件式 活動扳手組 (6–12"")","Snap-on 4件式 活動扳手組 (6–12"")",Unknown,套組,0,18000,0,active,AD704C,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
AD8B,"Snap-on 8"" 活動扳手","Snap-on 8"" 活動扳手",Unknown,支,0,3085,0,active,AD8B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AD8C,"Snap-on 8"" 活動扳手","Snap-on 8"" 活動扳手",Unknown,支,2011,4350,0,active,AD8C,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ADCF8,"Snap-on 3/8"" 三分 活動扳手頭 0-29 mm","Snap-on 3/8"" 三分 活動扳手頭 0-29 mm",Unknown,件,0,3250,0,active,ADCF8,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ADHW10A,"Snap-on 10"" 寬口可調式扳手","Snap-on 10"" 寬口可調式扳手",Unknown,支,0,4900,0,active,ADHW10A,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
ADHW12A,"Snap-on 12"" 寬口可調式扳手","Snap-on 12"" 寬口可調式扳手",Unknown,支,0,5450,0,active,ADHW12A,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ADHW6A,Snap-on 6吋寬口活動扳手,Snap-on 6吋寬口活動扳手,Unknown,支,0,3350,0,active,ADHW6A,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ADHW8A,"Snap-on 8"" 寬口可調式扳手","Snap-on 8"" 寬口可調式扳手",Unknown,支,1803,3790,0,active,ADHW8A,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ADHWS6,"Snap-on 6"" 薄寬口活動扳手（紅色）","Snap-on 6"" 薄寬口活動扳手（紅色）",Unknown,支,0,3050,0,active,ADHWS6,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ADHWS8,"Snap-on 8"" 薄寬口活動扳手（紅色）","Snap-on 8"" 薄寬口活動扳手（紅色）",Unknown,支,0,3550,0,active,ADHWS8,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
AHC21D,Blue-Point® 母 快速接頭,Blue-Point® 母 快速接頭,Unknown,個,0,0,0,active,AHC21D,"{'category': '美國藍點 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AHC21PMD,Blue-Point® 公 快速接頭,Blue-Point® 公 快速接頭,Unknown,個,0,0,0,active,AHC21PMD,"{'category': '美國藍點 套筒系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AIRFILTER,拆胎機 油水分離閥,拆胎機 油水分離閥,Unknown,套組,1200,2800,0,active,,"{'category': 'Snap-on 設備', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AL210,BRIGHT AL210右邊輔助臂,BRIGHT AL210右邊輔助臂,Unknown,件,0,16000,0,active,AL210,"{'category': 'BRIGHT 拆胎機系列', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
AMBS9390,除膠清潔刮刀,除膠清潔刮刀,Unknown,支,0,150,0,active,‎AMBS9390,"{'category': 'Snap-on維修保養', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850810B,"Snap-on 三分 12角 SAE 5/8"" 側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 5/8"" 側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850810B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850811B,"Snap-on 三分 12角 SAE 11/16""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 11/16""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850811B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850812B,"Snap-on 三分 12角 SAE 3/4""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 3/4""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850812B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850813B,"Snap-on 三分 12角 SAE 13/16""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 13/16""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850813B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850814B,"Snap-on 三分 12角 SAE 7/8""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 7/8""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850814B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850815B,"Snap-on 三分 12角 SAE 15/16""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 15/16""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850815B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850816B,"Snap-on 三分 12角 SAE 1""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角 SAE 1""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850816B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850817B,"Snap-on 三分 12角SAE 1-1/16""側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 三分 12角SAE 1-1/16""側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,2000,0,active,AN850817B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN850832B,"Snap-on 1/2""驅動12角SAE 2吋側邊驅動®深喇叭螺帽爪形扳手","Snap-on 1/2""驅動12角SAE 2吋側邊驅動®深喇叭螺帽爪形扳手",Unknown,個,0,4900,0,active,AN850832B,"{'category': '美國藍點 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN85088B,"Snap-on 兩分 12角 SAE 1/2"" 側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 兩分 12角 SAE 1/2"" 側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,1750,0,active,AN85088B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AN85089B,"Snap-on 二分 12角 SAE 9/16"" 側邊驅動® 深喇叭螺帽爪形扳手","Snap-on 二分 12角 SAE 9/16"" 側邊驅動® 深喇叭螺帽爪形扳手",Unknown,件,0,1750,0,active,AN85089B,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
AP10,"Blue-Point 10"" 可調接頭鉗","Blue-Point 10"" 可調接頭鉗",Unknown,支,0,3600,0,active,AP10,"{'category': '美國藍點 鉗子系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
APS363C,"Snap-on 2–4-3/4"" 可調式插銷板手","Snap-on 2–4-3/4"" 可調式插銷板手",Unknown,件,0,5550,0,active,APS363C,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASA204BDT,Snap-on 4件式 油封尖嘴拆卸工具組 灰,Snap-on 4件式 油封尖嘴拆卸工具組 灰,Unknown,套組,0,3000,0,active,ASA204BDT,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASA204BHV,Snap-on 4件式 油封尖嘴拆卸工具組 螢光黃,Snap-on 4件式 油封尖嘴拆卸工具組 螢光黃,Unknown,套組,0,3000,0,active,ASA204BHV,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASA204BO,Snap-on 4件式 油封尖嘴拆卸工具組 橘,Snap-on 4件式 油封尖嘴拆卸工具組 橘,Unknown,套組,0,0,0,active,ASA204BO,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASA204BPM,Snap-on 4件式 油封尖嘴拆卸工具組 粉,Snap-on 4件式 油封尖嘴拆卸工具組 粉,Unknown,套組,0,3000,0,active,ASA204BPM,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
ASAL204BPM,Snap-on 4件式 加長型油封尖嘴拆卸工具組 粉,Snap-on 4件式 加長型油封尖嘴拆卸工具組 粉,Unknown,套組,0,3200,0,active,ASAL204BPM,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 3, 'supplier': ''}"
ASG185BG,Snap-on 飾板拆卸工具 軟柄 綠,Snap-on 飾板拆卸工具 軟柄 綠,Unknown,支,0,1750,0,active,ASG185BG,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASG185BO,Snap-on 飾板拆卸工具 軟柄 橘,Snap-on 飾板拆卸工具 軟柄 橘,Unknown,支,0,1750,0,active,ASG185BO,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASG185BR,Snap-on 飾板拆卸工具 軟柄 紅,Snap-on 飾板拆卸工具 軟柄 紅,Unknown,支,0,1750,0,active,ASG185BR,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASG186BO,Snap-on 飾板拆卸工具 軟柄 橘,Snap-on 飾板拆卸工具 軟柄 橘,Unknown,支,0,1750,0,active,ASG186BO,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASG187BR,Snap-on 飾板拆卸工具(軟握把),Snap-on 飾板拆卸工具(軟握把),Unknown,支,0,0,1505,active,ASG187BR,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 2, 'supplier': ''}"
ASG188BR,"Snap-on 7/16""開口 飾板拆卸工具 軟柄 紅","Snap-on 7/16""開口 飾板拆卸工具 軟柄 紅",Unknown,支,0,1800,0,active,ASG188BR,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASG189BR,"Snap-on 飾板拆卸工具 軟柄 紅 (20"")","Snap-on 飾板拆卸工具 軟柄 紅 (20"")",Unknown,支,0,1800,0,active,ASG189BR,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
ASG190BR,Snap-on 飾板拆卸工具(軟握把),Snap-on 飾板拆卸工具(軟握把),Unknown,支,0,0,1505,active,ASG190BR,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 4, 'supplier': ''}"
ASGD102BR,Snap-on Instinct® 凹型尖端軟握飾板拆卸工具（紅，2件組）,Snap-on Instinct® 凹型尖端軟握飾板拆卸工具（紅，2件組）,Unknown,套組,0,3900,0,active,ASGD102BR,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
